imageFilePath,rMean,gMean,bMean,rStdDev,gStdDev,bStdDev,skyline/individual
data/Comcast Center - Philadelphia/5332.jpg,156.5931781,158.4868657,170.8394391,79.18178736,85.07742457,90.73256786,skyline
data/Wilshire Grand Center/12758.jpg,101.9168821,109.5185546,107.7048624,55.14374735,55.82257916,56.81979118,individual
data/Wilshire Grand Center/12959.jpg,79.85369695,78.02181561,77.10696929,70.20922417,68.26716452,64.36905244,individual
data/Wilshire Grand Center/16439.jpg,49.24504928,55.16153652,60.23406512,61.25497194,55.84986815,50.57661076,individual
data/Wilshire Grand Center/11334.jpg,109.1375648,113.4694044,121.45666,76.53767662,85.37070271,91.89599449,individual
data/Wilshire Grand Center/12269.jpg,80.552564,105.4903117,126.0526554,61.41263183,64.25467049,66.68719862,individual
data/Comcast Center - Philadelphia/5057.jpg,106.098248,104.0128072,102.361362,63.35036962,65.03902837,66.90148679,skyline
data/Wilshire Grand Center/15908.jpg,150.6108689,148.6308501,152.1465695,74.066336,73.94302757,74.85176761,individual
data/Four Seasons Place - Kuala Lumpur/2036.jpg,110.3377037,116.5088565,116.9336027,79.86729329,83.42894923,89.9179635,individual
data/Four Seasons Place - Kuala Lumpur/14.jpg,111.3595761,109.2382036,110.4478461,74.19376024,68.5016891,66.81860282,skyline
data/Four Seasons Place - Kuala Lumpur/61.jpg,123.8234774,143.4120789,130.2003021,59.15580771,60.03986618,60.83106653,skyline
data/Wilshire Grand Center/14756.jpg,111.6500603,124.80096,148.4011899,69.39112371,72.5772391,79.51113356,individual
data/Comcast Center - Philadelphia/4400.jpg,143.1248271,136.3602371,134.215917,60.56005057,69.29521772,71.76356682,individual
data/Comcast Center - Philadelphia/2461.jpg,127.1278083,124.9578334,117.8830497,54.91516791,60.97221567,74.94357024,skyline
data/Wilshire Grand Center/11742.jpg,80.18524167,71.73187708,60.06125573,77.27523884,71.99022543,58.85051159,individual
data/Four Seasons Place - Kuala Lumpur/3042.jpg,130.7049623,133.1437277,134.4606229,83.63985302,84.27512111,88.76215764,individual
data/Salesforce Tower/8763.jpg,121.2070968,111.044556,119.5087216,61.44416158,59.94271407,75.06414015,skyline
data/Comcast Center - Philadelphia/4086.jpg,141.2682432,131.7992236,122.3387184,48.64375739,46.88551853,44.57453328,individual
data/Salesforce Tower/7455.jpg,68.71007956,87.32179606,111.3471265,56.2274543,65.87521682,85.848537,individual
data/Wilshire Grand Center/9901.jpg,167.0783552,169.3797366,168.4042905,68.30029041,68.67157036,71.99272977,skyline
data/Wilshire Grand Center/7338.jpg,120.2987551,114.6257303,105.1552272,48.89857751,48.93774989,48.61039357,individual
data/Wilshire Grand Center/11236.jpg,133.2755636,132.4709439,130.1202613,97.27488291,96.79549009,96.90799123,individual
data/Salesforce Tower/9758.jpg,87.07095685,70.27530488,57.59050246,54.28376675,51.58531575,46.94590893,individual
data/Wilshire Grand Center/12921.jpg,117.8941933,127.1604805,138.5543351,75.42463366,81.64155535,90.40855418,skyline
data/Wilshire Grand Center/735.jpg,118.3960354,134.313765,133.4372605,56.15886456,58.49737764,72.72660824,skyline
data/Wilshire Grand Center/3789.jpg,135.5662914,147.1714939,152.4339591,41.05786014,40.73770493,44.53575012,individual
data/Wilshire Grand Center/2843.jpg,114.1463026,138.9982751,161.2391103,60.27855582,53.21617805,59.75495249,individual
data/China Resources HQ - Shenzhen/143.jpg,131.2752197,136.2936671,162.7954774,51.96891779,52.27566321,58.95630834,skyline
data/Salesforce Tower/2373.jpg,127.8705406,86.96008809,62.45627975,72.02595547,61.78938884,48.92232079,individual
data/Salesforce Tower/7364.jpg,113.5887292,123.7775052,141.2954313,62.4141654,63.58511826,73.08123337,individual
data/China Resources HQ - Shenzhen/122.jpg,146.0373406,153.5048947,162.3475436,73.61746954,69.25577964,64.9781495,individual
data/Wilshire Grand Center/11308.jpg,120.8283488,119.4890425,117.0445726,85.90637824,86.3656131,87.46867497,individual
data/Four Seasons Place - Kuala Lumpur/29.jpg,128.4391556,129.2906151,125.0392253,70.229666,70.52907334,72.27521308,skyline
data/Salesforce Tower/9317.jpg,119.7883921,117.3173857,118.7326494,86.6763758,84.10585457,86.84865408,individual
data/Wilshire Grand Center/17241.jpg,52.81824461,44.21868902,33.05019817,42.51007047,34.36034129,27.9013318,skyline
data/Wilshire Grand Center/13724.jpg,116.4117957,130.1578517,143.2914703,76.06486458,82.07964733,90.08683569,individual
data/Wilshire Grand Center/10310.jpg,139.3776792,129.5465553,116.4751769,56.27057447,55.38526717,59.95475072,individual
data/Wilshire Grand Center/13956.jpg,73.13593926,72.77674132,94.55891006,26.45781269,24.98520436,29.47238045,skyline
data/Wilshire Grand Center/17136.jpg,109.3891123,139.426163,164.4567281,53.49350419,74.33742587,98.06035861,skyline
data/Four Seasons Place - Kuala Lumpur/549.jpg,66.84457786,60.6567247,73.06753723,41.23256446,34.96173495,45.89307188,skyline
data/Wilshire Grand Center/10631.jpg,109.7805686,116.7291112,127.6453052,62.34526883,68.34353615,76.43382378,individual
data/Wilshire Grand Center/17269.jpg,106.1302384,129.5685291,152.651684,74.77134486,63.56424344,73.14585812,skyline
data/Wilshire Grand Center/14755.jpg,60.33904734,90.51546057,120.4975193,76.01655831,55.52806811,56.65579398,individual
data/Wilshire Grand Center/8525.jpg,102.9394086,114.9262657,136.5499306,66.91448704,58.91065934,60.88556236,individual
data/Wilshire Grand Center/15534.jpg,34.11454806,46.75438381,51.15559943,49.03055214,41.25142988,37.17258165,skyline
data/Comcast Center - Philadelphia/2849.jpg,111.1873134,111.0259582,112.7598149,63.84162503,64.75556433,67.3916613,individual
data/Comcast Center - Philadelphia/3095.jpg,86.39024625,98.73623026,128.1597315,44.07664224,45.52824311,62.13903035,skyline
data/Wilshire Grand Center/8834.jpg,94.87751823,96.97249375,101.2899995,77.91879566,74.31951602,71.81100056,individual
data/Wilshire Grand Center/2934.jpg,84.77094881,73.83667787,70.86205749,82.64218102,81.73527577,75.77618924,individual
data/Wilshire Grand Center/456.jpg,81.49221006,80.76365237,81.55292899,70.67597165,70.80897734,70.94711131,individual
data/Wilshire Grand Center/4916.jpg,118.5666271,109.2540313,93.89005208,75.95001231,67.25141541,57.9360674,individual
