imageFilePath,rMean,gMean,bMean,rStdDev,gStdDev,bStdDev,night/day
data/Wilshire Grand Center/14905.jpg,74.8706936,62.29385905,82.59241557,56.0964217,48.57883654,51.97398318,night
data/Four Seasons Place - Kuala Lumpur/2567.jpg,128.4391556,129.2906151,125.0392253,70.229666,70.52907334,72.27521308,day
data/Wilshire Grand Center/13161.jpg,106.6059375,119.1515083,135.7096958,61.64082784,55.69495084,60.20422717,day
data/Wilshire Grand Center/11603.jpg,152.4135975,136.7810743,137.3819274,52.94161358,48.64807677,71.76757637,day
data/Wilshire Grand Center/15540.jpg,120.1690182,113.2370945,105.2490763,47.46386147,46.77368282,48.9853945,day
data/Wilshire Grand Center/16009.jpg,110.5690115,114.1136636,124.7787449,45.49579964,46.27929273,53.55645786,day
data/Four Seasons Place - Kuala Lumpur/2047.jpg,56.19099446,53.01060636,84.81436877,39.14013688,39.70759007,43.45397245,night
data/Wilshire Grand Center/13858.jpg,88.90617778,111.9889549,132.7993444,59.04198263,64.1439997,81.71077058,day
data/Wilshire Grand Center/16429.jpg,55.44530818,66.86644428,68.40299623,61.15480187,58.89333958,69.85306081,night
data/Comcast Center - Philadelphia/5381.jpg,125.4172115,121.8735595,129.1538069,91.79353976,86.40147974,78.67823337,day
data/Wilshire Grand Center/14630.jpg,88.20926462,127.3989966,162.6540781,61.99796152,55.35167444,67.04123308,day
data/Salesforce Tower/9.jpg,130.4800453,134.4504278,160.8647002,60.04543389,52.6013195,48.69359748,day
data/Wilshire Grand Center/6087.jpg,88.92462447,88.5669304,86.41116844,40.36470676,39.45480118,39.66620304,day
data/Wilshire Grand Center/10620.jpg,129.4704675,128.507153,127.7945421,92.58011388,92.68397982,91.79052822,day
data/Four Seasons Place - Kuala Lumpur/3363.jpg,56.19099446,53.01060636,84.81436877,39.14013688,39.70759007,43.45397245,night
data/Salesforce Tower/6013.jpg,107.541613,100.4485537,100.7795769,67.66857,71.14035507,71.8390466,day
data/Wilshire Grand Center/11467.jpg,130.5329804,146.7049574,146.7919175,85.49234471,89.01048608,87.47106379,day
data/Wilshire Grand Center/12820.jpg,117.9862942,119.9388784,119.7421722,52.58006331,55.60490392,60.50218123,day
data/Wilshire Grand Center/15672.jpg,84.37016932,86.2521375,85.18356323,66.27802499,63.49664964,59.69916704,day
data/Wilshire Grand Center/8686.jpg,121.3635715,123.4880153,125.7312909,75.37416774,72.4847061,71.17056964,day
data/Four Seasons Place - Kuala Lumpur/400.jpg,102.4241104,97.53573533,90.37866885,58.78208114,53.91849569,51.55097495,night
data/Salesforce Tower/8565.jpg,75.44452286,72.14536921,72.20403926,55.84792705,54.77590211,47.90345263,day
data/Wilshire Grand Center/5727.jpg,126.6824292,121.8981917,118.0156813,49.00239015,45.8418129,42.25243181,day
data/Wilshire Grand Center/11950.jpg,91.96479458,83.02717082,78.4043986,71.55030851,71.43713177,72.23647201,day
data/Four Seasons Place - Kuala Lumpur/2171.jpg,110.0481297,110.1322331,110.8612079,74.7809893,77.04723453,80.57501438,day
data/Four Seasons Place - Kuala Lumpur/3225.jpg,128.4391556,129.2906151,125.0392253,70.229666,70.52907334,72.27521308,day
data/Four Seasons Place - Kuala Lumpur/3319.jpg,128.4391556,129.2906151,125.0392253,70.229666,70.52907334,72.27521308,day
data/Wilshire Grand Center/16757.jpg,107.4760323,115.7430712,129.4322308,62.53810641,61.63173791,69.69133395,day
data/Wilshire Grand Center/14948.jpg,64.93939139,80.007603,103.4558357,51.77633186,49.4684791,50.2495742,night
data/Four Seasons Place - Kuala Lumpur/1366.jpg,127.5832709,125.4467282,118.6445851,80.28307656,78.34093571,81.97328178,day
data/Four Seasons Place - Kuala Lumpur/1378.jpg,110.3377037,116.5088565,116.9336027,79.86729329,83.42894923,89.9179635,day
data/Wilshire Grand Center/6175.jpg,75.17268333,91.29495417,99.50178958,54.26582232,58.65260443,63.47998209,night
data/Wilshire Grand Center/4739.jpg,112.1976242,123.4628398,137.159687,63.35697029,69.99558448,75.99881642,day
data/Four Seasons Place - Kuala Lumpur/2036.jpg,110.3377037,116.5088565,116.9336027,79.86729329,83.42894923,89.9179635,day
data/Wilshire Grand Center/14445.jpg,119.8823193,137.8102794,156.520811,87.63200565,77.53413889,64.45378608,day
data/Wilshire Grand Center/15901.jpg,113.3218134,121.5968861,133.3691598,71.92919911,75.22809984,83.49376207,day
data/Wilshire Grand Center/737.jpg,100.2084993,106.7709082,111.1450651,62.79039232,59.79721843,63.49097519,day
data/Wilshire Grand Center/14182.jpg,153.6890265,153.2138994,150.9205137,79.61481789,79.15885779,80.63601267,day
data/Wilshire Grand Center/12115.jpg,69.13434955,63.82168369,73.23032577,32.81310602,28.96855409,33.64971725,night
data/Wilshire Grand Center/13424.jpg,84.83333333,101.1429354,132.473675,59.05353275,57.73003952,69.43998253,day
data/Salesforce Tower/8466.jpg,153.7120565,151.520649,150.4035645,67.91032053,69.37795179,70.15725931,day
data/Four Seasons Place - Kuala Lumpur/123.jpg,128.4391556,129.2906151,125.0392253,70.229666,70.52907334,72.27521308,day
data/Four Seasons Place - Kuala Lumpur/1063.jpg,128.4391556,129.2906151,125.0392253,70.229666,70.52907334,72.27521308,day
data/Wilshire Grand Center/12617.jpg,50.74594116,49.39368184,48.13087802,59.31716055,58.67110951,59.2862436,day
